Date/Time UTC,Name,MMSI,Max Speed kn,Mean Speed kn,LOA ft,Beam ft,Class,AIS Type,Course,Heading,Course Behavior,Yaw deg,Effective Beam ft,WDIR degT,WSPD mph,GST mph,Buoy Source,Location,Latitude,Longitude,Transit,% Channel Occupied
2021-11-04 05:33:36,NORTHERN JASPER,255806034,17.0,16.4,1092.0,141.0,Post-Panamax,70,300,301,Inbound,1,160,30,22.37,29.08,41004,Offshore,32.6732,-79.7068,One-way Transit,20.0
2021-11-04 18:57:53,MAERSK KARACHI,477728400,16.8,15.7,984.0,141.0,Post-Panamax,71,299,301,Inbound,2,175,20,24.61,31.32,41004,Offshore,32.68072,-79.72235,One-way Transit,21.88
2021-11-04 04:15:46,PORTO KAGIO,636020868,16.3,14.9,915.0,131.0,Panamax,71,118,116,Outbound,2,163,30,24.61,29.08,41004,Nearshore,32.72058,-79.80591,One-way Transit,16.3
2021-11-04 15:15:27,CMA CGM LAMARTINE,215185000,15.8,14.9,1017.0,131.0,Post-Panamax,71,119,115,Outbound,4,202,30,24.61,31.32,41004,Nearshore,32.72036,-79.80702,One-way Transit,25.25
2021-11-04 13:54:44,MSC VIGO,218853000,15.7,15.0,886.0,131.0,Panamax,74,295,298,Inbound,3,177,30,26.84,31.32,41004,Nearshore,32.72145,-79.80874,One-way Transit,17.7
2021-11-04 02:53:21,HYUNDAI FORWARD,538007482,15.6,14.6,964.0,105.0,Panamax,70,299,300,Inbound,1,122,30,26.84,31.32,41004,Nearshore,32.70385,-79.77131,One-way Transit,12.2
2021-11-04 22:57:00,BOMAR JULIANA,636016851,15.3,14.1,689.0,98.0,Panamax,9,120,119,Outbound,1,110,20,24.61,31.32,41004,Nearshore,32.69504,-79.75254,One-way Transit,11.0
2021-11-04 06:01:19,EVER LEGION,566970000,14.2,13.9,1099.0,151.0,Post-Panamax,70,118,116,Outbound,2,189,40,24.61,29.08,41004,Nearshore,32.7126,-79.79059,One-way Transit,23.62
2021-11-04 14:56:39,MAERSK TUKANG,565825000,14.1,13.6,1089.0,141.0,Post-Panamax,71,299,300,Inbound,1,160,30,24.61,31.32,41004,Nearshore,32.6937,-79.75046,One-way Transit,20.0
2021-11-03 19:51:53,CMA CGM LAMARTINE,215185000,16.9,16.4,1017.0,131.0,Post-Panamax,71,299,301,Inbound,2,166,20,24.61,29.08,41004,Offshore,32.67512,-79.71069,One-way Transit,20.75
2021-11-03 00:04:36,MEISHAN BRIDGE,431989000,16.0,15.1,1197.0,167.0,Post-Panamax,73,119,119,Outbound,0,167,20,4.47,6.71,41004,Nearshore,32.70061,-79.7652,One-way Transit,20.88
2021-11-03 04:53:24,DUBLIN EXPRESS,218023000,15.5,13.6,922.0,105.0,Panamax,70,118,120,Outbound,2,137,30,6.71,8.95,41004,Nearshore,32.72175,-79.80948,One-way Transit,13.7
2021-11-03 07:41:46,LORI,636019794,15.2,14.6,748.0,121.0,Panamax,71,120,118,Outbound,2,147,20,24.61,29.08,41004,Nearshore,32.69582,-79.75411,One-way Transit,14.7
2021-11-03 10:10:00,CAPE DIAMOND,366716000,14.5,13.9,679.0,108.0,Panamax,70,298,300,Inbound,2,132,30,20.13,26.84,41004,Nearshore,32.70083,-79.76608,One-way Transit,13.2
2021-11-03 03:42:33,CMA CGM IVANHOE,218844000,14.3,12.8,1148.0,138.0,Post-Panamax,71,299,300,Inbound,1,158,10,6.71,8.95,41004,Offshore,32.64461,-79.64608,One-way Transit,19.75
2021-11-03 07:18:31,APL NEW JERSEY,636013522,13.4,13.0,961.0,131.0,Panamax,72,121,120,Outbound,1,148,20,22.37,29.08,41004,Offshore,32.68986,-79.74141,One-way Transit,14.8
2021-11-03 17:55:58,ZHEN HUA 35,636018736,11.6,11.6,800.0,138.0,Panamax,70,300,304,Inbound,4,193,30,22.37,29.08,41004,Nearshore,32.69608,-79.7534,One-way Transit,19.3
2021-11-02 06:16:52,DUBLIN EXPRESS,218023000,16.2,11.0,922.0,105.0,Panamax,70,300,299,Inbound,1,121,40,8.95,13.42,41004,Offshore,32.6806,-79.72209,One-way Transit,12.1
2021-11-02 23:55:35,MEISHAN BRIDGE,431989000,15.8,15.7,1197.0,167.0,Post-Panamax,73,122,122,Outbound,0,167,40,4.47,6.71,41004,Nearshore,32.71985,-79.80589,One-way Transit,20.88
2021-11-02 08:14:54,LORI,636019794,14.8,14.2,748.0,121.0,Panamax,71,290,293,Inbound,3,160,40,8.95,13.42,41004,Offshore,32.65071,-79.65834,One-way Transit,16.0
2021-11-02 08:03:49,EVER LADEN,373721000,14.7,13.2,1099.0,151.0,Post-Panamax,74,119,119,Outbound,0,151,40,11.18,13.42,41004,Offshore,32.67165,-79.70415,One-way Transit,18.88
2021-11-02 12:36:34,MOL COURAGE,431296000,14.4,13.8,1036.0,151.0,Post-Panamax,71,120,119,Outbound,1,169,70,8.95,13.42,41004,Offshore,32.67969,-79.72162,One-way Transit,21.12
