Name,MMSI,VSPD kn,WSPD mph,Transit,% Channel Occupied,Yaw deg,Effective Beam ft,LOA ft,Beam ft,Class,AIS Type,Course,Heading,Course Behavior,WDIR degT,GST mph,Buoy Source,Location,Latitude,Longitude,Date/Time UTC
ZHONG GU FU JIAN,414349000,15.5,11.18,One-way Transit,10.5,0,105,902.0,105.0,Panamax,70,120,120,Outbound,160,13.42,41004,Nearshore,32.72183,-79.80876,2021-12-17 01:06:35
ZHONG GU FU JIAN,414349000,15.6,11.18,One-way Transit,10.5,0,105,902.0,105.0,Panamax,70,120,120,Outbound,160,13.42,41004,Nearshore,32.71925,-79.80342,2021-12-17 01:07:46
ZHONG GU FU JIAN,414349000,15.5,11.18,One-way Transit,10.5,0,105,902.0,105.0,Panamax,70,120,120,Outbound,160,13.42,41004,Nearshore,32.7171,-79.79894,2021-12-17 01:08:47
ZHONG GU FU JIAN,414349000,15.7,11.18,One-way Transit,10.5,0,105,902.0,105.0,Panamax,70,120,120,Outbound,160,13.42,41004,Nearshore,32.71576,-79.79626,2021-12-17 01:09:23
ZHONG GU FU JIAN,414349000,15.5,11.18,One-way Transit,10.5,0,105,902.0,105.0,Panamax,70,120,120,Outbound,160,13.42,41004,Nearshore,32.71311,-79.79083,2021-12-17 01:10:36
ZHONG GU FU JIAN,414349000,15.5,11.18,One-way Transit,12.1,1,121,902.0,105.0,Panamax,70,119,120,Outbound,160,13.42,41004,Nearshore,32.71021,-79.7851,2021-12-17 01:11:53
ZHONG GU FU JIAN,414349000,15.5,11.18,One-way Transit,10.5,0,105,902.0,105.0,Panamax,70,120,120,Outbound,160,13.42,41004,Nearshore,32.70806,-79.78064,2021-12-17 01:12:53
ZHONG GU FU JIAN,414349000,15.5,11.18,One-way Transit,12.1,1,121,902.0,105.0,Panamax,70,119,120,Outbound,160,13.42,41004,Nearshore,32.70569,-79.77573,2021-12-17 01:13:58
ZHONG GU FU JIAN,414349000,15.6,11.18,One-way Transit,10.5,0,105,902.0,105.0,Panamax,70,120,120,Outbound,160,13.42,41004,Nearshore,32.7042,-79.7726,2021-12-17 01:14:41
ZHONG GU FU JIAN,414349000,15.6,11.18,One-way Transit,10.5,0,105,902.0,105.0,Panamax,70,119,119,Outbound,170,15.66,41004,Nearshore,32.70198,-79.76765,2021-12-17 01:15:47
