Date/Time UTC,Name,MMSI,Max Speed kn,Mean Speed kn,LOA ft,Beam ft,Class,AIS Type,Course,Heading,Course Behavior,Yaw deg,Effective Beam ft,WDIR degT,WSPD mph,GST mph,Buoy Source,Location,Latitude,Longitude,Transit,% Channel Occupied
2021-03-28 04:55:04,SANTA LINEA,218650000,16.3,16.3,1105.0,151.0,Post-Panamax,70,131,132,Outbound,1,170,191,16.55,20.13,41008,Nearshore,32.03071,-80.81828,One-way Transit,28.33
2021-03-28 22:57:45,ST LOUIS EXPRESS,367136680,16.2,15.3,797.0,105.0,Panamax,79,119,123,Outbound,4,160,193,17.0,22.37,41008,Offshore,31.9831,-80.75957,One-way Transit,26.67
2021-03-28 14:54:58,MAERSK STOCKHOLM,477770200,16.1,15.0,1096.0,141.0,Post-Panamax,71,298,298,Inbound,0,141,202,11.63,13.42,41008,Offshore,31.97667,-80.74521,One-way Transit,23.5
2021-03-28 08:21:47,YM MODESTY,636016242,16.1,15.5,958.0,131.0,Panamax,70,298,298,Inbound,0,131,191,15.21,17.9,41008,Offshore,31.98474,-80.76286,One-way Transit,21.83
2021-03-28 08:08:44,COSCO SHIPPING LOTUS,477269400,15.4,15.1,1200.0,157.0,Post-Panamax,71,298,298,Inbound,0,157,194,13.42,17.9,41008,Offshore,31.9776,-80.74742,One-way Transit,26.17
2021-03-28 03:17:47,EVER LENIENT,235102677,15.4,14.5,1099.0,151.0,Post-Panamax,74,120,127,Outbound,7,284,179,14.76,17.9,41008,Nearshore,32.03157,-80.8192,One-way Transit,47.33
2021-03-28 23:07:50,SEAMELODY,229769000,15.4,13.7,902.0,105.0,Panamax,71,321,322,Inbound,1,121,193,17.0,22.37,41008,Nearshore,32.02668,-80.81385,One-way Transit,20.17
2021-03-28 07:17:36,OOCL CHONGQING,477832400,14.7,14.1,1200.0,157.0,Post-Panamax,70,302,302,Inbound,0,157,211,11.18,17.9,41008,Offshore,31.99258,-80.78046,One-way Transit,26.17
2021-03-28 02:28:43,HUMEN BRIDGE,372665000,14.6,14.1,1102.0,151.0,Post-Panamax,71,141,142,Outbound,1,170,179,14.76,17.9,41008,Nearshore,32.01544,-80.80374,One-way Transit,28.33
2021-03-28 14:17:54,MAERSK SANTANA,563000900,13.8,13.8,1099.0,141.0,Post-Panamax,74,143,142,Outbound,1,160,199,12.53,13.42,41008,Nearshore,32.02524,-80.81192,One-way Transit,26.67
2021-03-28 15:24:15,SALOME,566086000,13.1,12.5,869.0,105.0,Panamax,70,297,295,Inbound,2,135,204,13.42,15.66,41008,Offshore,31.98279,-80.75822,One-way Transit,22.5
2021-03-27 10:14:56,MSC MARIA ELENA,355919000,16.7,16.1,1102.0,151.0,Post-Panamax,71,316,314,Inbound,2,189,205,4.7,8.95,41008,Nearshore,32.02837,-80.81539,One-way Transit,31.5
2021-03-27 04:19:45,TAMERLANE,257758000,16.5,15.6,804.0,105.0,Panamax,70,133,133,Outbound,0,105,214,18.12,22.37,41008,Nearshore,32.02988,-80.81722,One-way Transit,17.5
2021-03-27 22:48:39,MOL EXPERIENCE,372955000,16.3,15.6,961.0,105.0,Panamax,70,319,316,Inbound,3,155,165,10.07,13.42,41008,Nearshore,32.02891,-80.8161,One-way Transit,25.83
2021-03-27 19:47:47,ST LOUIS EXPRESS,367136680,15.2,14.8,797.0,105.0,Panamax,79,321,322,Inbound,1,119,180,8.72,11.18,41008,Nearshore,32.02693,-80.81386,One-way Transit,19.83
2021-03-27 11:54:32,AGIOS DIMITRIOS,636015975,14.8,14.6,981.0,131.0,Post-Panamax,70,143,142,Outbound,1,148,200,7.83,11.18,41008,Nearshore,32.00922,-80.79793,One-way Transit,24.67
