Date/Time UTC,Name,MMSI,Max Speed kn,Mean Speed kn,LOA ft,Beam ft,Class,AIS Type,Course,Heading,Course Behavior,Yaw deg,Effective Beam ft,WDIR degT,WSPD mph,GST mph,Buoy Source,Location,Latitude,Longitude,Transit,% Channel Occupied
2021-10-28 04:42:51,CSCL SYDNEY,477020200,16.5,15.4,853.0,105.0,Panamax,70,119,119,Outbound,0,105,129,7.16,11.18,41008,Offshore,31.97946,-80.75258,One-way Transit,17.5
2021-10-28 04:26:45,CEZANNE,563062300,15.8,14.8,984.0,157.0,Post-Panamax,70,119,120,Outbound,1,174,129,7.16,11.18,41008,Offshore,31.98219,-80.7572,One-way Transit,29.0
2021-10-28 05:32:59,MEISHAN BRIDGE,431989000,15.5,15.0,1197.0,167.0,Post-Panamax,73,322,322,Inbound,0,167,110,8.72,13.42,41008,Nearshore,32.0269,-80.8138,One-way Transit,27.83
2021-10-28 05:03:37,THALASSA DOXA,636018703,15.4,14.7,1207.0,167.0,Post-Panamax,70,321,320,Inbound,1,188,129,7.16,11.18,41008,Nearshore,32.02679,-80.81416,One-way Transit,31.33
2021-10-28 19:18:42,ROME EXPRESS,219258000,14.7,14.1,1200.0,157.0,Post-Panamax,71,119,119,Outbound,0,157,134,28.41,33.56,41008,Offshore,31.97776,-80.74747,One-way Transit,26.17
2021-10-28 02:48:34,RDO FORTUNE,636092878,14.6,14.2,840.0,121.0,Panamax,71,316,311,Inbound,5,194,79,6.93,8.95,41008,Nearshore,32.02882,-80.81599,One-way Transit,32.33
2021-10-28 17:55:32,EXPRESS ATHENS,636015020,13.4,12.6,1145.0,151.0,Post-Panamax,71,119,120,Outbound,1,171,133,21.25,24.61,41008,Offshore,31.97798,-80.74823,One-way Transit,28.5
2021-10-28 03:23:41,SEAMAX NEW HAVEN,538007675,13.4,12.9,1096.0,138.0,Post-Panamax,72,321,321,Inbound,0,138,89,8.28,11.18,41008,Nearshore,32.02278,-80.80994,One-way Transit,23.0
2021-10-28 06:02:47,COLORADO EXPRESS,369215000,13.0,12.0,1004.0,131.0,Post-Panamax,70,139,136,Outbound,3,183,110,8.72,13.42,41008,Nearshore,31.99762,-80.78741,One-way Transit,30.5
2021-10-28 16:59:35,ZIM SAN DIEGO,636014221,13.0,10.9,1096.0,141.0,Post-Panamax,71,298,299,Inbound,1,160,131,16.11,22.37,41008,Offshore,31.97951,-80.75246,One-way Transit,26.67
2021-10-28 16:54:43,EVER LADEN,373721000,12.7,12.1,1099.0,151.0,Post-Panamax,74,322,321,Inbound,1,170,131,16.11,22.37,41008,Nearshore,32.01211,-80.80066,One-way Transit,28.33
2021-10-27 05:38:47,CSCL SYDNEY,477020200,16.0,15.7,853.0,105.0,Panamax,70,320,315,Inbound,5,179,324,15.66,22.37,41008,Nearshore,32.0287,-80.81578,One-way Transit,29.83
2021-10-27 00:26:50,ROME EXPRESS,219258000,15.2,13.9,1200.0,157.0,Post-Panamax,71,322,322,Inbound,0,157,313,20.13,24.61,41008,Nearshore,32.02637,-80.81353,One-way Transit,26.17
2021-10-27 00:00:50,YORK,636018964,14.9,14.7,997.0,131.0,Post-Panamax,71,119,119,Outbound,0,131,313,20.13,24.61,41008,Offshore,31.98601,-80.76635,Two-way Transit,43.67
2021-10-27 02:08:38,C HAMBURG,636020327,13.9,13.4,1096.0,141.0,Post-Panamax,71,117,117,Outbound,0,141,314,17.67,24.61,41008,Offshore,31.9828,-80.75924,One-way Transit,23.5
2021-10-27 02:20:52,EXPRESS ATHENS,636015020,13.8,13.3,1145.0,151.0,Post-Panamax,71,321,321,Inbound,0,151,322,18.57,24.61,41008,Nearshore,32.02493,-80.81204,One-way Transit,25.17
2021-10-27 22:18:50,CMA CGM MARCO POLO,311000923,13.3,12.7,1299.0,177.0,Post-Panamax,71,118,117,Outbound,1,200,37,3.36,6.71,41008,Offshore,31.98291,-80.75925,One-way Transit,33.33
