Name,MMSI,VSPD kn,WSPD mph,Transit,% Channel Occupied,Yaw deg,Effective Beam ft,LOA ft,Beam ft,Class,AIS Type,Course,Heading,Course Behavior,WDIR degT,GST mph,Buoy Source,Location,Latitude,Longitude,Date/Time UTC
CMA CGM ALMAVIVA,228339600,14.2,17.22,One-way Transit,26.67,1,160,1096.0,141.0,Post-Panamax,70,298,299,Inbound,29,20.13,41008,Offshore,31.97281,-80.73686,2021-12-13 16:43:56
CMA CGM ALMAVIVA,228339600,14.8,17.22,One-way Transit,26.67,1,160,1096.0,141.0,Post-Panamax,70,298,299,Inbound,29,20.13,41008,Offshore,31.97473,-80.74106,2021-12-13 16:44:56
CMA CGM ALMAVIVA,228339600,15.2,17.22,One-way Transit,26.67,1,160,1096.0,141.0,Post-Panamax,70,298,299,Inbound,29,20.13,41008,Offshore,31.97671,-80.7454,2021-12-13 16:45:56
CMA CGM ALMAVIVA,228339600,15.4,17.22,One-way Transit,26.67,1,160,1096.0,141.0,Post-Panamax,70,298,299,Inbound,29,20.13,41008,Offshore,31.97874,-80.74982,2021-12-13 16:46:56
CMA CGM ALMAVIVA,228339600,15.5,17.22,One-way Transit,26.67,1,160,1096.0,141.0,Post-Panamax,70,300,299,Inbound,29,20.13,41008,Offshore,31.9808,-80.75428,2021-12-13 16:47:56
CMA CGM ALMAVIVA,228339600,15.6,17.22,One-way Transit,23.5,0,141,1096.0,141.0,Post-Panamax,70,298,298,Inbound,29,20.13,41008,Offshore,31.98287,-80.75876,2021-12-13 16:48:56
CMA CGM ALMAVIVA,228339600,15.6,17.22,One-way Transit,26.67,1,160,1096.0,141.0,Post-Panamax,70,297,298,Inbound,29,20.13,41008,Offshore,31.98484,-80.76332,2021-12-13 16:49:56
CMA CGM ALMAVIVA,228339600,15.7,17.22,One-way Transit,26.67,1,160,1096.0,141.0,Post-Panamax,70,297,298,Inbound,29,20.13,41008,Offshore,31.98685,-80.76787,2021-12-13 16:50:56
CMA CGM ALMAVIVA,228339600,15.7,17.22,One-way Transit,23.5,0,141,1096.0,141.0,Post-Panamax,70,298,298,Inbound,29,20.13,41008,Offshore,31.98807,-80.77061,2021-12-13 16:51:33
CMA CGM ALMAVIVA,228339600,15.8,17.22,One-way Transit,26.67,1,160,1096.0,141.0,Post-Panamax,70,297,298,Inbound,29,20.13,41008,Offshore,31.99028,-80.77565,2021-12-13 16:52:39
CMA CGM ALMAVIVA,228339600,15.3,17.22,One-way Transit,26.67,1,160,1096.0,141.0,Post-Panamax,70,321,322,Inbound,29,20.13,41008,Nearshore,31.99872,-80.78836,2021-12-13 16:55:51
CMA CGM ALMAVIVA,228339600,14.9,17.22,One-way Transit,26.67,1,160,1096.0,141.0,Post-Panamax,70,320,321,Inbound,29,20.13,41008,Nearshore,32.00229,-80.79179,2021-12-13 16:56:56
CMA CGM ALMAVIVA,228339600,14.7,17.22,One-way Transit,29.83,2,179,1096.0,141.0,Post-Panamax,70,321,323,Inbound,29,20.13,41008,Nearshore,32.00548,-80.79483,2021-12-13 16:57:56
CMA CGM ALMAVIVA,228339600,14.7,17.22,One-way Transit,23.5,0,141,1096.0,141.0,Post-Panamax,70,322,322,Inbound,29,20.13,41008,Nearshore,32.00873,-80.79775,2021-12-13 16:58:56
CMA CGM ALMAVIVA,228339600,14.7,17.22,One-way Transit,29.83,2,179,1096.0,141.0,Post-Panamax,70,322,324,Inbound,29,20.13,41008,Nearshore,32.01034,-80.79925,2021-12-13 16:59:26
CMA CGM ALMAVIVA,228339600,14.9,17.22,One-way Transit,23.5,0,141,1096.0,141.0,Post-Panamax,70,323,323,Inbound,29,20.13,41008,Nearshore,32.014,-80.80243,2021-12-13 17:00:32
CMA CGM ALMAVIVA,228339600,15.2,17.22,One-way Transit,26.67,1,160,1096.0,141.0,Post-Panamax,70,323,324,Inbound,29,20.13,41008,Nearshore,32.01734,-80.80544,2021-12-13 17:01:32
CMA CGM ALMAVIVA,228339600,15.3,17.22,One-way Transit,23.5,0,141,1096.0,141.0,Post-Panamax,70,323,323,Inbound,29,20.13,41008,Nearshore,32.02076,-80.8084,2021-12-13 17:02:32
CMA CGM ALMAVIVA,228339600,15.5,17.22,One-way Transit,26.67,1,160,1096.0,141.0,Post-Panamax,70,322,321,Inbound,29,20.13,41008,Nearshore,32.02419,-80.81146,2021-12-13 17:03:32
CMA CGM ALMAVIVA,228339600,15.7,17.22,One-way Transit,42.5,6,255,1096.0,141.0,Post-Panamax,70,323,317,Inbound,29,20.13,41008,Nearshore,32.02763,-80.81461,2021-12-13 17:04:32
MSC PINA,372973000,14.9,15.88,One-way Transit,31.5,2,189,1105.0,151.0,Post-Panamax,71,298,300,Inbound,19,20.13,41008,Offshore,31.97253,-80.73719,2021-12-13 18:14:51
MSC PINA,372973000,15.7,15.88,One-way Transit,28.33,1,170,1105.0,151.0,Post-Panamax,71,299,300,Inbound,19,20.13,41008,Offshore,31.97464,-80.74174,2021-12-13 18:15:51
MSC PINA,372973000,16.2,15.88,One-way Transit,31.5,2,189,1105.0,151.0,Post-Panamax,71,298,300,Inbound,19,20.13,41008,Offshore,31.97674,-80.74635,2021-12-13 18:16:51
MSC PINA,372973000,16.5,15.88,One-way Transit,28.33,1,170,1105.0,151.0,Post-Panamax,71,299,300,Inbound,19,20.13,41008,Offshore,31.97892,-80.75107,2021-12-13 18:17:51
MSC PINA,372973000,16.7,15.88,One-way Transit,28.33,1,170,1105.0,151.0,Post-Panamax,71,299,300,Inbound,19,20.13,41008,Offshore,31.98116,-80.75592,2021-12-13 18:18:51
MSC PINA,372973000,16.7,15.88,One-way Transit,31.5,2,189,1105.0,151.0,Post-Panamax,71,298,300,Inbound,19,20.13,41008,Offshore,31.98338,-80.76073,2021-12-13 18:19:51
MSC PINA,372973000,16.6,14.99,One-way Transit,28.33,1,170,1105.0,151.0,Post-Panamax,71,298,299,Inbound,16,20.13,41008,Offshore,31.98581,-80.766,2021-12-13 18:20:56
MSC PINA,372973000,16.8,14.99,One-way Transit,25.17,0,151,1105.0,151.0,Post-Panamax,71,300,300,Inbound,16,20.13,41008,Offshore,31.98805,-80.77079,2021-12-13 18:21:56
MSC PINA,372973000,16.7,14.99,One-way Transit,31.5,2,189,1105.0,151.0,Post-Panamax,71,298,300,Inbound,16,20.13,41008,Offshore,31.99029,-80.77559,2021-12-13 18:22:56
MSC PINA,372973000,17.0,14.99,One-way Transit,41.17,5,247,1105.0,151.0,Post-Panamax,71,298,303,Inbound,16,20.13,41008,Offshore,31.9916,-80.77842,2021-12-13 18:23:33
MSC PINA,372973000,15.9,14.99,One-way Transit,41.17,5,247,1105.0,151.0,Post-Panamax,71,320,325,Inbound,16,20.13,41008,Nearshore,32.00072,-80.79134,2021-12-13 18:26:39
MSC PINA,372973000,16.0,14.99,One-way Transit,31.5,2,189,1105.0,151.0,Post-Panamax,71,324,326,Inbound,16,20.13,41008,Nearshore,32.00467,-80.79475,2021-12-13 18:27:44
MSC PINA,372973000,16.2,14.99,One-way Transit,28.33,1,170,1105.0,151.0,Post-Panamax,71,325,326,Inbound,16,20.13,41008,Nearshore,32.00833,-80.79781,2021-12-13 18:28:44
MSC PINA,372973000,16.1,14.99,One-way Transit,28.33,1,170,1105.0,151.0,Post-Panamax,71,322,323,Inbound,16,20.13,41008,Nearshore,32.012,-80.80087,2021-12-13 18:29:44
MSC PINA,372973000,16.2,14.99,One-way Transit,28.33,1,170,1105.0,151.0,Post-Panamax,71,322,323,Inbound,16,20.13,41008,Nearshore,32.01599,-80.80451,2021-12-13 18:30:51
MSC PINA,372973000,16.5,14.99,One-way Transit,25.17,0,151,1105.0,151.0,Post-Panamax,71,323,323,Inbound,16,20.13,41008,Nearshore,32.01988,-80.80811,2021-12-13 18:31:57
MSC PINA,372973000,16.4,14.99,One-way Transit,28.33,1,170,1105.0,151.0,Post-Panamax,71,322,323,Inbound,16,20.13,41008,Nearshore,32.02354,-80.81145,2021-12-13 18:32:57
MSC PINA,372973000,16.9,14.99,One-way Transit,28.33,1,170,1105.0,151.0,Post-Panamax,71,321,322,Inbound,16,20.13,41008,Nearshore,32.02724,-80.81486,2021-12-13 18:33:57
MSC TAVVISHI,636016978,14.8,15.44,One-way Transit,21.83,0,131,912.0,131.0,Panamax,99,140,140,Outbound,20,17.9,41008,Nearshore,32.02543,-80.81262,2021-12-13 19:35:52
MSC TAVVISHI,636016978,14.8,15.44,One-way Transit,21.83,0,131,912.0,131.0,Panamax,99,142,142,Outbound,20,17.9,41008,Nearshore,32.01863,-80.8064,2021-12-13 19:37:57
MSC TAVVISHI,636016978,15.0,15.44,One-way Transit,21.83,0,131,912.0,131.0,Panamax,99,143,143,Outbound,20,17.9,41008,Nearshore,32.0153,-80.80344,2021-12-13 19:38:57
MSC TAVVISHI,636016978,14.0,15.44,One-way Transit,29.83,3,179,912.0,131.0,Panamax,99,146,143,Outbound,20,17.9,41008,Nearshore,32.00934,-80.79832,2021-12-13 19:40:46
MSC TAVVISHI,636016978,13.8,15.44,One-way Transit,27.17,2,163,912.0,131.0,Panamax,99,141,143,Outbound,20,17.9,41008,Nearshore,32.00598,-80.79526,2021-12-13 19:41:53
MSC TAVVISHI,636016978,13.2,15.44,One-way Transit,32.33,4,194,912.0,131.0,Panamax,99,144,140,Outbound,20,17.9,41008,Nearshore,32.00289,-80.79274,2021-12-13 19:42:53
MSC TAVVISHI,636016978,13.1,15.44,One-way Transit,24.5,1,147,912.0,131.0,Panamax,99,136,137,Outbound,20,17.9,41008,Nearshore,32.00019,-80.7899,2021-12-13 19:43:53
MSC TAVVISHI,636016978,14.4,15.44,One-way Transit,24.5,1,147,912.0,131.0,Panamax,99,116,117,Outbound,20,17.9,41008,Offshore,31.99147,-80.77718,2021-12-13 19:47:29
MSC TAVVISHI,636016978,14.5,15.44,One-way Transit,24.5,1,147,912.0,131.0,Panamax,99,117,116,Outbound,20,17.9,41008,Offshore,31.99033,-80.77467,2021-12-13 19:48:06
MSC TAVVISHI,636016978,15.9,15.44,One-way Transit,21.83,0,131,912.0,131.0,Panamax,99,118,118,Outbound,20,17.9,41008,Offshore,31.98085,-80.75372,2021-12-13 19:52:51
