Name,MMSI,VSPD kn,WSPD mph,Transit,% Channel Occupied,Yaw deg,Effective Beam ft,LOA ft,Beam ft,Class,AIS Type,Course,Heading,Course Behavior,WDIR degT,GST mph,Buoy Source,Location,Latitude,Longitude,Date/Time UTC
RDO FORTUNE,636092878,13.9,6.93,One-way Transit,20.17,0,121,840.0,121.0,Panamax,71,298,298,Inbound,79,8.95,41008,Offshore,31.97383,-80.73912,2021-10-28 02:26:52
RDO FORTUNE,636092878,14.1,6.93,One-way Transit,20.17,0,121,840.0,121.0,Panamax,71,299,299,Inbound,79,8.95,41008,Offshore,31.9757,-80.74319,2021-10-28 02:27:52
RDO FORTUNE,636092878,14.1,6.93,One-way Transit,20.17,0,121,840.0,121.0,Panamax,71,299,299,Inbound,79,8.95,41008,Offshore,31.97767,-80.74738,2021-10-28 02:28:52
RDO FORTUNE,636092878,14.1,6.93,One-way Transit,20.17,0,121,840.0,121.0,Panamax,71,299,299,Inbound,79,8.95,41008,Offshore,31.9796,-80.75151,2021-10-28 02:29:52
RDO FORTUNE,636092878,14.3,6.93,One-way Transit,20.17,0,121,840.0,121.0,Panamax,71,299,299,Inbound,79,8.95,41008,Offshore,31.98154,-80.75564,2021-10-28 02:30:52
RDO FORTUNE,636092878,14.3,6.93,One-way Transit,20.17,0,121,840.0,121.0,Panamax,71,299,299,Inbound,79,8.95,41008,Offshore,31.98348,-80.75977,2021-10-28 02:31:52
RDO FORTUNE,636092878,14.2,6.93,One-way Transit,20.17,0,121,840.0,121.0,Panamax,71,298,298,Inbound,79,8.95,41008,Offshore,31.98537,-80.76391,2021-10-28 02:32:52
RDO FORTUNE,636092878,14.4,6.93,One-way Transit,20.17,0,121,840.0,121.0,Panamax,71,298,298,Inbound,79,8.95,41008,Offshore,31.98728,-80.76813,2021-10-28 02:33:52
RDO FORTUNE,636092878,14.1,6.93,One-way Transit,20.17,0,121,840.0,121.0,Panamax,71,298,298,Inbound,79,8.95,41008,Offshore,31.98913,-80.77221,2021-10-28 02:34:53
RDO FORTUNE,636092878,14.3,6.93,One-way Transit,20.17,0,121,840.0,121.0,Panamax,71,298,298,Inbound,79,8.95,41008,Offshore,31.99125,-80.77686,2021-10-28 02:35:59
